query,clicks,impressions,ctr_percent,position
панда суші,2,17,11.76,7.2
доставка одесса круглосуточно,1,1,100.00,1.0
заказать суши круглосуточно,1,1,100.00,4.0
суші одеса,1,12,8.33,30.2
all about poke near me,0,1,0.00,65.0
alpine sushi,0,1,0.00,59.0
panda,0,4,0.00,17.0
panda ekisu,0,1,0.00,8.0
panda mass,0,1,0.00,100.0
panda menu,0,1,0.00,32.0
panda st,0,1,0.00,3.0
panda su,0,2,0.00,56.5
panda sushi,0,10,0.00,23.7
panda sushi menu,0,1,0.00,13.0
pandasushi,0,2,0.00,5.0
pande,0,1,0.00,8.0
planada sushi,0,2,0.00,2.0
sushi panda,0,2,0.00,12.0
vs panda,0,1,0.00,59.0
банда суши,0,1,0.00,7.0
велика риба доставка одеса,0,1,0.00,9.0
доставка,0,1,0.00,1.0
доставка еды в комендантский час одесса,0,9,0.00,10.2
доставка еды круглосуточно одесса,0,1,0.00,4.0
доставка еды одесса круглосуточно,0,2,0.00,9.0
доставка роли одеса,0,5,0.00,29.8
доставка роллов одесса,0,5,0.00,63.6
доставка роллы одесса,0,5,0.00,58.8
доставка ролів одеса,0,4,0.00,28.0
доставка суши круглосуточно,0,1,0.00,4.0
доставка суши одесса,0,10,0.00,32.0
доставка суші одеса,0,13,0.00,29.9
доставка їжі одеса,0,2,0.00,22.0
е суши одесса,0,1,0.00,28.0
еда доставка одесса,0,1,0.00,4.0
заказать роллы одесса,0,5,0.00,75.0
заказать суши в одессе,0,4,0.00,68.5
заказать суши одесса,0,8,0.00,55.4
замовити роли одеса,0,5,0.00,31.6
замовити суші в одесі,0,3,0.00,38.0
замовити суші одеса,0,5,0.00,37.6
кафе панда,0,1,0.00,4.0
круглосуточная доставка еды одесса,0,1,0.00,1.0
круглосуточная доставка суши,0,1,0.00,10.0
купить суши одесса,0,1,0.00,36.0
одеса sushi,0,1,0.00,27.0
одеса суші,0,4,0.00,35.3
одесса заказать суши,0,1,0.00,51.0
одесса суши,0,6,0.00,46.2
панда меню,0,4,0.00,25.3
панда піца,0,1,0.00,57.0
панда суши,0,21,0.00,8.1
панда суши киев,0,1,0.00,13.0
панда суши южный,0,5,0.00,8.0
панда суші вінниця,0,1,0.00,20.0
панда щасливе,0,1,0.00,6.0
панда южный,0,6,0.00,8.3
пандасуши,0,3,0.00,8.3
пандасуші,0,2,0.00,7.5
роли одеса,0,2,0.00,33.0
роллы доставка одесса,0,1,0.00,50.0
суши 7 небо,0,1,0.00,39.0
суши аркадія,0,1,0.00,26.0
суши банда,0,1,0.00,7.0
суши в одессе,0,1,0.00,66.0
суши в одессе доставка,0,2,0.00,45.0
суши доставка одесса,0,6,0.00,38.0
суши заказать одесса,0,1,0.00,52.0
суши круглосуточно,0,1,0.00,5.0
суши круглосуточно доставка,0,2,0.00,3.0
суши на дом одесса,0,1,0.00,53.0
суши нигира заказать,0,2,0.00,54.5
суши нигири доставка,0,2,0.00,35.5
суши одесса,0,22,0.00,37.9
суши одесса доставка,0,11,0.00,35.5
суши одесса заказать,0,4,0.00,43.5
суши одесса круглосуточно,0,3,0.00,6.0
суши пан,0,1,0.00,11.0
суши панда,0,15,0.00,7.7
суши панда симферополь,0,1,0.00,13.0
суши панда южный,0,5,0.00,8.4
суши с доставкой одесса,0,1,0.00,45.0
суши счастливое,0,1,0.00,19.0
суши фонтанка,0,2,0.00,31.5
сушипанда,0,1,0.00,1.0
сушия одесса,0,1,0.00,39.0
суші в одесі,0,3,0.00,34.3
суші доставка одеса,0,6,0.00,31.5
суші одеса доставка,0,8,0.00,26.5
суші одеса замовити,0,6,0.00,38.8
суші панда,0,1,0.00,12.0
сущи панда,0,1,0.00,9.0
