query,page,clicks,impressions,ctr_percent,position
панда суші,https://pandasushi.od.ua/,4,26,15.38,5.0
круглосуточная доставка еды одесса,https://pandasushi.od.ua/,1,1,100.00,2.0
ночная доставка одесса,https://pandasushi.od.ua/,1,3,33.33,6.3
панда суши,https://pandasushi.od.ua/,1,35,2.86,9.0
суши круглосуточно доставка,https://pandasushi.od.ua/,1,1,100.00,3.0
all day sushi,https://pandasushi.od.ua/,0,1,0.00,96.0
original sushi panorama,https://pandasushi.od.ua/menu.html,0,1,0.00,97.0
panda,https://pandasushi.od.ua/,0,11,0.00,9.9
panda cheff,https://pandasushi.od.ua/about.html,0,1,0.00,63.0
panda express,https://pandasushi.od.ua/,0,1,0.00,34.0
panda freeport,https://pandasushi.od.ua/supy.html,0,1,0.00,99.0
panda rolls,https://pandasushi.od.ua/blog.html,0,1,0.00,58.0
panda rolls,https://pandasushi.od.ua/rolls.html,0,1,0.00,25.0
panda st,https://pandasushi.od.ua/,0,1,0.00,5.0
panda sushi,https://pandasushi.od.ua/,0,11,0.00,6.8
panda sushi,https://pandasushi.od.ua/about.html,0,2,0.00,76.0
panda sushi,https://pandasushi.od.ua/contacts.html,0,1,0.00,78.0
panda sushi,https://pandasushi.od.ua/delivery.html,0,1,0.00,98.0
panda sushi,https://pandasushi.od.ua/menu.html,0,2,0.00,74.5
panda суши,https://pandasushi.od.ua/,0,1,0.00,13.0
pandasushi,https://pandasushi.od.ua/,0,1,0.00,5.0
restoran panda,https://pandasushi.od.ua/,0,1,0.00,59.0
super panda express,https://pandasushi.od.ua/,0,1,0.00,64.0
sushi panda,https://pandasushi.od.ua/,0,6,0.00,12.3
банда суши,https://pandasushi.od.ua/,0,3,0.00,6.3
доставка еды в комендантский час одесса,https://pandasushi.od.ua/,0,7,0.00,9.3
доставка еды одесса круглосуточно,https://pandasushi.od.ua/,0,3,0.00,4.7
доставка роли одеса,https://pandasushi.od.ua/,0,4,0.00,29.3
доставка роли одеса,https://pandasushi.od.ua/sety.html,0,2,0.00,66.5
доставка роллов одесса,https://pandasushi.od.ua/,0,5,0.00,63.2
доставка роллы одесса,https://pandasushi.od.ua/,0,4,0.00,45.3
доставка ролів одеса,https://pandasushi.od.ua/,0,5,0.00,29.4
доставка ролів одеса,https://pandasushi.od.ua/sety.html,0,2,0.00,68.5
доставка суш одесса,https://pandasushi.od.ua/,0,1,0.00,58.0
доставка суши одесса,https://pandasushi.od.ua/,0,11,0.00,29.4
доставка суші одеса,https://pandasushi.od.ua/,0,12,0.00,28.0
доставка іжі одеса,https://pandasushi.od.ua/,0,1,0.00,19.0
доставка їжі одеса,https://pandasushi.od.ua/,0,3,0.00,23.7
заказать роллы одесса,https://pandasushi.od.ua/,0,6,0.00,72.0
