page,clicks,impressions,ctr_percent,position
https://pandasushi.od.ua/,13,469,2.77,28.3
https://pandasushi.od.ua/rolls.html,1,2,50.00,5.0
https://pandasushi.od.ua/about.html,0,6,0.00,52.2
https://pandasushi.od.ua/article.html,0,2,0.00,32.0
https://pandasushi.od.ua/blog.html,0,1,0.00,53.0
https://pandasushi.od.ua/careers.html,0,3,0.00,7.7
https://pandasushi.od.ua/contacts.html,0,5,0.00,38.6
https://pandasushi.od.ua/delivery.html,0,11,0.00,38.5
https://pandasushi.od.ua/menu.html,0,36,0.00,18.5
https://pandasushi.od.ua/napoi.html,0,1,0.00,1.0
https://pandasushi.od.ua/nigiri.html,0,8,0.00,8.4
https://pandasushi.od.ua/poke.html,0,2,0.00,71.5
https://pandasushi.od.ua/promotions.html,0,21,0.00,38.0
https://pandasushi.od.ua/salaty.html,0,2,0.00,1.0
https://pandasushi.od.ua/supy.html,0,4,0.00,16.8
https://pandasushi.od.ua/zakusky.html,0,3,0.00,70.0
